TXDate,TXNo,TXQty,TXP1,BuyerCode,BuyerName,ItemCode,ItemName,Product Hierarchy 3,Function,ItemType,Model,Performance,Performance.1,Material,UOM,Brand Code,Unit Cost,Sector,SubSector,Value,Rationale,www,Source
2024-07-24,SI/INV9054418,18,55.0,S0665,AIR LIQUIDE SINGAPORE PRIVATE LIMITED,1000,#19P SPARE ELEMENT 99+% EFFICIENCY @ 5 MICRON POLYESTER MEDIA WITH PREFILTER (MOQ: 18 PCS),Filters,Filter,Spare Element Replacement Cartridge,19P,5 micron,99 percent efficiency,Polyester,,,18.32389,Industrial Gas,,0.99,,,AN
2024-07-25,SI/INV9054787,1,35.0,S0665,AIR LIQUIDE SINGAPORE PRIVATE LIMITED,AE00441,#280 WATERPROOF SANDPAPER,Cutting Tool,Cut Sand,,,,,,,,12.57,Industrial Gas,,0.035,,,AN
2024-05-07,SI/INV9048376,1,15.0,S0665,AIR LIQUIDE SINGAPORE PRIVATE LIMITED,TI00040,#66052 PRECISION SCREWDRIVER SET,Bolts Nuts & Screws,Bolts Nuts & Screws,,,,,,,STANLE,5.31,Industrial Gas,,0.015,,,AN
2024-10-09,SI/INV9060350,4,15.0,S0665,AIR LIQUIDE SINGAPORE PRIVATE LIMITED,TI00040,#66052 PRECISION SCREWDRIVER SET,Bolts Nuts & Screws,Bolts Nuts & Screws,,,,,,,STANLE,5.33,Industrial Gas,,0.06,,,AN
2024-06-05,SI/INV9050474,3,78.0,S0059,AIR LIQUIDE SINGAPORE PRIVATE LIMITED,AM01012,#7447 SCOTCH BRITE (60PCS/BOX),Storage,Storage,,,,,,,3M,60.0,Industrial Gas,,0.234,,,AN
2024-07-15,SI/INV9053436,60,1.3,S0059,AIR LIQUIDE SINGAPORE PRIVATE LIMITED,AM01012,#7447 SCOTCH BRITE (60PCS/BOX),Storage,Storage,,,,,,,3M,1.0,Industrial Gas,,0.078,,,AN
2024-09-16,SI/INV9058730,1,78.0,S0665,AIR LIQUIDE SINGAPORE PRIVATE LIMITED,AM01012,#7447 SCOTCH BRITE (60PCS/BOX),Storage,Storage,,,,,,,3M,60.0,Industrial Gas,,0.078,,,AN
2024-10-15,SI/INV9060902,2,25.0,S0059,AIR LIQUIDE SINGAPORE PRIVATE LIMITED,AN00649,#8210 DUST MASK,Personal Protective Equipment,Personal Protective Equipment,,,,,,,3M,16.0,Industrial Gas,,0.05,,,AN
2024-08-12,SI/INV9055673,3,0.0,S0665,AIR LIQUIDE SINGAPORE PRIVATE LIMITED,AL00078,#KIT 16A 3PIN PLUG,Electrical Accessories,Electrical Accessories,,,,,,,,0.7000000000000001,Industrial Gas,,0.0,,,AN
2024-10-28,SI/INV9061825,2,0.0,S0665,AIR LIQUIDE SINGAPORE PRIVATE LIMITED,AL00078,#KIT 16A 3PIN PLUG,Electrical Accessories,Electrical Accessories,,,,,,,,0.7,Industrial Gas,,0.0,,,AN
2024-12-26,SI/INV9066248,1,0.0,S0059,AIR LIQUIDE SINGAPORE PRIVATE LIMITED,AF00186,#KIT 20PM HICOUPLER PLUG,Electrical Accessories,Electrical Accessories,,,,,,,NITTO,1.22,Industrial Gas,,0.0,,,AN
2024-10-28,SI/INV9061825,2,0.0,S0665,AIR LIQUIDE SINGAPORE PRIVATE LIMITED,AS00367,"#KIT 300MM/12"" VENTILATION HOSE ( 10M )",Conduit & Fitting,Conduit & Fitting,,,,,,,WELD,38.89323,Industrial Gas,,0.0,,,AN
2024-02-22,SI/INV9043446,6,0.0,S0059,AIR LIQUIDE SINGAPORE PRIVATE LIMITED,AM00645,#KIT BICYCLE TOOL BOX BLACK COLOUR,Storage,Storage,,,,,,,,17.358439999999998,Industrial Gas,,0.0,,,AN
2024-02-06,SI/INV9043123,1,0.0,S0059,AIR LIQUIDE SINGAPORE PRIVATE LIMITED,AH03772,#KIT OPEN ENDED INSERT TOOLS 741216MM,Bolts Nuts & Screws,Bolts Nuts & Screws,,,,,,,PROTOO,6.42875,Industrial Gas,,0.0,,,AN
2024-02-06,SI/INV9043123,1,0.0,S0059,AIR LIQUIDE SINGAPORE PRIVATE LIMITED,AH03774,#KIT OPEN ENDED INSERT TOOLS 741218MM,Bolts Nuts & Screws,Bolts Nuts & Screws,,,,,,,PROTOO,6.40333,Industrial Gas,,0.0,,,AN
2024-02-06,SI/INV9043123,1,0.0,S0059,AIR LIQUIDE SINGAPORE PRIVATE LIMITED,AH03776,#KIT OPEN ENDED INSERT TOOLS 741221MM,Bolts Nuts & Screws,Bolts Nuts & Screws,,,,,,,PROTOO,6.77,Industrial Gas,,0.0,,,AN
2024-02-06,SI/INV9043123,1,0.0,S0059,AIR LIQUIDE SINGAPORE PRIVATE LIMITED,AH03781,#KIT OPEN ENDED INSERT TOOLS 741232MM,Bolts Nuts & Screws,Bolts Nuts & Screws,,,,,,,PROTOO,12.7715,Industrial Gas,,0.0,,,AN
2024-02-06,SI/INV9043123,1,0.0,S0059,AIR LIQUIDE SINGAPORE PRIVATE LIMITED,AH03782,#KIT OPEN ENDED INSERT TOOLS 741234MM,Bolts Nuts & Screws,Bolts Nuts & Screws,,,,,,,PROTOO,13.38636,Industrial Gas,,0.0,,,AN
2024-02-06,SI/INV9043123,1,0.0,S0059,AIR LIQUIDE SINGAPORE PRIVATE LIMITED,AH03783,#KIT OPEN ENDED INSERT TOOLS 741236MM,Bolts Nuts & Screws,Bolts Nuts & Screws,,,,,,,PROTOO,13.7675,Industrial Gas,,0.0,,,AN
2024-02-06,SI/INV9043123,1,0.0,S0059,AIR LIQUIDE SINGAPORE PRIVATE LIMITED,AH03784,#KIT OPEN ENDED INSERT TOOLS 741238MM,Bolts Nuts & Screws,Bolts Nuts & Screws,,,,,,,PROTOO,12.962,Industrial Gas,,0.0,,,AN
2024-02-06,SI/INV9043123,1,0.0,S0059,AIR LIQUIDE SINGAPORE PRIVATE LIMITED,AH03785,#KIT OPEN ENDED INSERT TOOLS 741241MM,Bolts Nuts & Screws,Bolts Nuts & Screws,,,,,,,PROTOO,13.254,Industrial Gas,,0.0,,,AN
2024-02-06,SI/INV9043123,1,0.0,S0059,AIR LIQUIDE SINGAPORE PRIVATE LIMITED,AH03789,#KIT RING INSERT TOOLS 742216MM,Bolts Nuts & Screws,Bolts Nuts & Screws,,,,,,,PROTOO,6.53286,Industrial Gas,,0.0,,,AN
2024-01-10,SI/INV9040405,2,0.0,S0665,AIR LIQUIDE SINGAPORE PRIVATE LIMITED,AN00912,#KIT SAFETY FACE SHIELD FOR HELMET,Site Safety Equipment,Site Safety Equipment,,,,,,,WELD,3.6,Industrial Gas,,0.0,,,AN
2024-01-10,SI/INV9040406,2,0.0,S0665,AIR LIQUIDE SINGAPORE PRIVATE LIMITED,AN00912,#KIT SAFETY FACE SHIELD FOR HELMET,Site Safety Equipment,Site Safety Equipment,,,,,,,WELD,3.6,Industrial Gas,,0.0,,,AN
